"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/09 10:18:48 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Rarement","Rarement","Rarement","Parfois","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Rarement","",""
"2018/04/09 10:26:44 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Jamais","Rarement","Assez souvent","Parfois","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Parfois","Parfois","",""
"2018/04/09 10:26:45 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Jamais","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Jamais","",""
"2018/04/09 10:28:42 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Jamais","Jamais","Parfois","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Parfois","Assez souvent","",""
"2018/04/09 10:34:20 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Parfois","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Assez souvent","Rarement","Jamais","Fréquemment","",""
"2018/04/09 10:38:56 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Rarement","Presque toujours","Presque toujours","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Parfois","Assez souvent","",""
"2018/04/09 10:40:25 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","8h - 12h","Responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation","S’est plutôt dégradée","Parfois","Assez souvent","Assez souvent","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Parfois","Assez souvent","Jamais","",""
"2018/04/09 10:41:41 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Parfois","Jamais","Jamais","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/09 10:43:58 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","",""
"2018/04/09 10:45:25 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Plus d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","","N’a pas changée","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 10:45:31 AM GMT+1","Une femme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 10:49:35 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Jamais","Assez souvent","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/09 10:52:18 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Parfois","Rarement","Rarement","Fréquemment","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 10:53:13 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Jamais","Parfois","Fréquemment","Parfois","Assez souvent","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Fréquemment","Jamais","",""
"2018/04/09 10:54:50 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Fréquemment","Rarement","Assez souvent","Jamais","Presque toujours","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Assez souvent","Assez souvent","",""
"2018/04/09 11:03:11 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:06:13 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Assez souvent","Parfois","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Assez souvent","Jamais","Jamais","",""
"2018/04/09 11:06:27 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Non","","","","","","","","","","Rarement","Rarement","Rarement","Fréquemment","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Parfois","",""
"2018/04/09 11:09:49 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Rarement","Rarement","Fréquemment","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Rarement","Rarement","",""
"2018/04/09 11:10:09 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Parfois","Assez souvent","Rarement","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Jamais","Jamais","Parfois","",""
"2018/04/09 11:10:52 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Oui","Plus d'un an","12h - 16h","Responsable","En deux roues ( moto,vélo,scooter)","Corporelles;Matérielles","Arrêt de travail / Interruption de scolarité","J'était en retard;Congestion de la route","Facteur lié à la signalisation","S’est plutôt améliorée","Parfois","Assez souvent","Parfois","Parfois","Rarement","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Assez souvent","Fréquemment","",""
"2018/04/09 11:11:42 AM GMT+1","Un homme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Rarement","Rarement","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Rarement","Jamais","",""
"2018/04/09 11:12:08 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Rarement","Fréquemment","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Parfois","",""
"2018/04/09 11:13:35 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Jamais","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Jamais","",""
"2018/04/09 11:15:34 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Presque toujours","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","","Facteur lié au marquage au sol","N’a pas changée","Assez souvent","Jamais","Parfois","Assez souvent","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Jamais","Presque toujours","Rarement","",""
"2018/04/09 11:17:45 AM GMT+1","Une femme","Entre 34 et 41 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Oui","Moins d'un an","16h - 20h","Responsable","En voiture","Matérielles","","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Rarement","Jamais","Jamais","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Fréquemment","Jamais","Rarement","",""
"2018/04/09 11:17:57 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Jamais","Jamais","Jamais","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 11:18:07 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Jamais","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/09 11:18:57 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Parfois","Parfois","Rarement","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Rarement","",""
"2018/04/09 11:19:10 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Corporelles;Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Jamais","Jamais","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Fréquemment","",""
"2018/04/09 11:19:10 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Assez souvent","Rarement","Presque toujours","Fréquemment","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Fréquemment","Assez souvent","Assez souvent","",""
"2018/04/09 11:20:48 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Rarement","Jamais","Rarement","Fréquemment","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Parfois","",""
"2018/04/09 11:20:53 AM GMT+1","Une femme","Entre 26 et 33 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Plus d'un an","8h - 12h","Pas responsable","En voiture","Corporelles;Psychologiques;Matérielles;Professionnelles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Rarement","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Parfois","",""
"2018/04/09 11:23:48 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","8h - 12h","50/50","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Rarement","Rarement","Jamais","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Rarement","Rarement","",""
"2018/04/09 11:24:32 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Presque toujours","Assez souvent","Assez souvent","Assez souvent","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Assez souvent","Assez souvent","Parfois","",""
"2018/04/09 11:24:49 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Rarement","Parfois","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 11:26:41 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Plus d'un an","0h - 4h","Responsable","En voiture","Psychologiques;Matérielles","","J'était en retard","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Assez souvent","Parfois","Fréquemment","Rarement","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/09 11:29:06 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Assez souvent","Jamais","Presque toujours","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/09 11:29:52 AM GMT+1","Un homme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Rarement","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:30:48 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Jamais","Rarement","Rarement","Jamais","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/09 11:31:13 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Corporelles;Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Parfois","Rarement","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/09 11:32:18 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Rarement","Parfois","Jamais","Fréquemment","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Jamais","",""
"2018/04/09 11:32:40 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Jamais","",""
"2018/04/09 11:33:51 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Parfois","Parfois","Parfois","Parfois","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Parfois","",""
"2018/04/09 11:34:15 AM GMT+1","Une femme","Entre 34 et 41 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Parfois","",""
"2018/04/09 11:34:38 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Rarement","Assez souvent","Rarement","Rarement","Presque toujours","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Rarement","",""
"2018/04/09 11:34:58 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Rarement","Jamais","Jamais","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/09 11:35:23 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Presque toujours","Rarement","Rarement","Presque toujours","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:36:16 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Jamais","Jamais","Jamais","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/09 11:36:30 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation","S’est plutôt améliorée","Assez souvent","Parfois","Rarement","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Rarement","",""
